sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: rip | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.23 | Public IP: 210.184.111.53 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:00:50 UTC Tue Jun 30 2020 | Duration: 19d 16h:29m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 12928721675 | Bytes Rx: 3076847873 | IP Addr: 10.145.232.23 | Public IP: 210.184.111.53 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:00:50 UTC Tue Jun 30 2020 | Duration: 19d 16h:29m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 12928721675 | Bytes Rx: 3076847873 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 742 | Audit Session ID: 0a910728002e60005efb2972 | Security Group Tag: none | EasyVPN: 0 |Session ID: 742 | Audit Session ID: 0a910728002e60005efb2972 | Security Group Tag: none | EasyVPN: 0 ||
Username: KALT | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.225 | Public IP: 91.12.220.26 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:17:16 UTC Mon Jul 20 2020 | Duration: 0h:12m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 35740460 | Bytes Rx: 5161246 | IP Addr: 10.145.233.225 | Public IP: 91.12.220.26 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:17:16 UTC Mon Jul 20 2020 | Duration: 0h:12m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 35740460 | Bytes Rx: 5161246 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7934 | Audit Session ID: 0a91072801efe0005f151acc | Security Group Tag: none | EasyVPN: 0 |Session ID: 7934 | Audit Session ID: 0a91072801efe0005f151acc | Security Group Tag: none | EasyVPN: 0 ||
Username: AAdil | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.227 | Public IP: 27.56.206.243 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:19:31 UTC Mon Jul 20 2020 | Duration: 0h:10m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 15152656 | Bytes Rx: 4786443 | IP Addr: 10.145.233.227 | Public IP: 27.56.206.243 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:19:31 UTC Mon Jul 20 2020 | Duration: 0h:10m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 15152656 | Bytes Rx: 4786443 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7935 | Audit Session ID: 0a91072801eff0005f151b53 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7935 | Audit Session ID: 0a91072801eff0005f151b53 | Security Group Tag: none | EasyVPN: 0 ||
Username: pallavi.more | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.228 | Public IP: 42.106.192.96 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:20:26 UTC Mon Jul 20 2020 | Duration: 0h:09m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 70650092 | Bytes Rx: 6155538 | IP Addr: 10.145.233.228 | Public IP: 42.106.192.96 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:20:26 UTC Mon Jul 20 2020 | Duration: 0h:09m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 70650092 | Bytes Rx: 6155538 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7936 | Audit Session ID: 0a91072801f000005f151b8a | Security Group Tag: none | EasyVPN: 0 |Session ID: 7936 | Audit Session ID: 0a91072801f000005f151b8a | Security Group Tag: none | EasyVPN: 0 ||
Username: srimanta.kar | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.229 | Public IP: 223.233.52.55 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:20:58 UTC Mon Jul 20 2020 | Duration: 0h:09m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 19996452 | Bytes Rx: 4970924 | IP Addr: 10.145.233.229 | Public IP: 223.233.52.55 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:20:58 UTC Mon Jul 20 2020 | Duration: 0h:09m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 19996452 | Bytes Rx: 4970924 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7937 | Audit Session ID: 0a91072801f010005f151baa | Security Group Tag: none | EasyVPN: 0 |Session ID: 7937 | Audit Session ID: 0a91072801f010005f151baa | Security Group Tag: none | EasyVPN: 0 ||
Username: SarikaS | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.230 | Public IP: 106.198.194.205 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:21:25 UTC Mon Jul 20 2020 | Duration: 0h:08m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 41128309 | Bytes Rx: 4372329 | IP Addr: 10.145.233.230 | Public IP: 106.198.194.205 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:21:25 UTC Mon Jul 20 2020 | Duration: 0h:08m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 41128309 | Bytes Rx: 4372329 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7938 | Audit Session ID: 0a91072801f020005f151bc5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7938 | Audit Session ID: 0a91072801f020005f151bc5 | Security Group Tag: none | EasyVPN: 0 ||
Username: dshetye | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.231 | Public IP: 223.189.9.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:23:17 UTC Mon Jul 20 2020 | Duration: 0h:06m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 25056683 | Bytes Rx: 2041264 | IP Addr: 10.145.233.231 | Public IP: 223.189.9.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:23:17 UTC Mon Jul 20 2020 | Duration: 0h:06m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 25056683 | Bytes Rx: 2041264 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7939 | Audit Session ID: 0a91072801f030005f151c35 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7939 | Audit Session ID: 0a91072801f030005f151c35 | Security Group Tag: none | EasyVPN: 0 ||
Username: vmaturi | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.233 | Public IP: 14.192.2.156 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:23:56 UTC Mon Jul 20 2020 | Duration: 0h:06m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 92970485 | Bytes Rx: 10476082 | IP Addr: 10.145.233.233 | Public IP: 14.192.2.156 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:23:56 UTC Mon Jul 20 2020 | Duration: 0h:06m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 92970485 | Bytes Rx: 10476082 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7940 | Audit Session ID: 0a91072801f040005f151c5c | Security Group Tag: none | EasyVPN: 0 |Session ID: 7940 | Audit Session ID: 0a91072801f040005f151c5c | Security Group Tag: none | EasyVPN: 0 ||
Username: absamuel | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.234 | Public IP: 42.109.134.4 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:24:19 UTC Mon Jul 20 2020 | Duration: 0h:05m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 11983780 | Bytes Rx: 4505127 | IP Addr: 10.145.233.234 | Public IP: 42.109.134.4 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:24:19 UTC Mon Jul 20 2020 | Duration: 0h:05m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 11983780 | Bytes Rx: 4505127 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7941 | Audit Session ID: 0a91072801f050005f151c73 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7941 | Audit Session ID: 0a91072801f050005f151c73 | Security Group Tag: none | EasyVPN: 0 ||
Username: nevk | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.235 | Public IP: 1.39.174.66 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:27:42 UTC Mon Jul 20 2020 | Duration: 0h:02m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 1178350 | Bytes Rx: 633074 | IP Addr: 10.145.233.235 | Public IP: 1.39.174.66 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:27:42 UTC Mon Jul 20 2020 | Duration: 0h:02m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 1178350 | Bytes Rx: 633074 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7942 | Audit Session ID: 0a91072801f060005f151d3e | Security Group Tag: none | EasyVPN: 0 |Session ID: 7942 | Audit Session ID: 0a91072801f060005f151d3e | Security Group Tag: none | EasyVPN: 0 ||
Username: johncugg | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.236 | Public IP: 86.154.134.29 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:28:41 UTC Mon Jul 20 2020 | Duration: 0h:01m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 19804185 | Bytes Rx: 4974553 | IP Addr: 10.145.233.236 | Public IP: 86.154.134.29 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:28:41 UTC Mon Jul 20 2020 | Duration: 0h:01m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 19804185 | Bytes Rx: 4974553 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7943 | Audit Session ID: 0a91072801f070005f151d79 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7943 | Audit Session ID: 0a91072801f070005f151d79 | Security Group Tag: none | EasyVPN: 0 ||
Username: raagarwa | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.237 | Public IP: 42.106.254.109 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 04:29:43 UTC Mon Jul 20 2020 | Duration: 0h:00m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 21466 | Bytes Rx: 0 | IP Addr: 10.145.233.237 | Public IP: 42.106.254.109 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 04:29:43 UTC Mon Jul 20 2020 | Duration: 0h:00m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 21466 | Bytes Rx: 0 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7944 | Audit Session ID: 0a91072801f080005f151db7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7944 | Audit Session ID: 0a91072801f080005f151db7 | Security Group Tag: none | EasyVPN: 0 ||
ukl78vpn01a# 
