sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: waitham | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.177 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:20:05 IST Sun Jul 19 2020 | Duration: 15h:40m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 3901720732 | Bytes Rx: 226175323 | IP Addr: 10.149.232.177 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:20:05 IST Sun Jul 19 2020 | Duration: 15h:40m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 3901720732 | Bytes Rx: 226175323 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 14888 | Audit Session ID: 0a95072a03a280005f144f8d | Security Group Tag: none | EasyVPN: 0 |Session ID: 14888 | Audit Session ID: 0a95072a03a280005f144f8d | Security Group Tag: none | EasyVPN: 0 ||
Username: kapil.gadgil | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.165 | Public IP: 106.220.229.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:02:31 IST Mon Jul 20 2020 | Duration: 1h:57m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 179423513 | Bytes Rx: 239450267 | IP Addr: 10.149.232.165 | Public IP: 106.220.229.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:02:31 IST Mon Jul 20 2020 | Duration: 1h:57m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 179423513 | Bytes Rx: 239450267 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15284 | Audit Session ID: 0a95072a03bb40005f15104f | Security Group Tag: none | EasyVPN: 0 |Session ID: 15284 | Audit Session ID: 0a95072a03bb40005f15104f | Security Group Tag: none | EasyVPN: 0 ||
Username: jsakkara | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.166 | Public IP: 106.198.82.183 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:03:21 IST Mon Jul 20 2020 | Duration: 1h:56m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 38116885 | Bytes Rx: 16493509 | IP Addr: 10.149.232.166 | Public IP: 106.198.82.183 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:03:21 IST Mon Jul 20 2020 | Duration: 1h:56m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 38116885 | Bytes Rx: 16493509 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15286 | Audit Session ID: 0a95072a03bb60005f151081 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15286 | Audit Session ID: 0a95072a03bb60005f151081 | Security Group Tag: none | EasyVPN: 0 ||
Username: rpotla | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.110 | Public IP: 103.125.161.17 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:03:50 IST Mon Jul 20 2020 | Duration: 1h:56m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 113969204 | Bytes Rx: 27714910 | IP Addr: 10.149.232.110 | Public IP: 103.125.161.17 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:03:50 IST Mon Jul 20 2020 | Duration: 1h:56m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 113969204 | Bytes Rx: 27714910 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15289 | Audit Session ID: 0a95072a03bb90005f15109e | Security Group Tag: none | EasyVPN: 0 |Session ID: 15289 | Audit Session ID: 0a95072a03bb90005f15109e | Security Group Tag: none | EasyVPN: 0 ||
Username: ashosing | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.210 | Public IP: 223.233.93.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:04:21 IST Mon Jul 20 2020 | Duration: 1h:55m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 46489288 | Bytes Rx: 14250524 | IP Addr: 10.149.232.210 | Public IP: 223.233.93.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:04:21 IST Mon Jul 20 2020 | Duration: 1h:55m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 46489288 | Bytes Rx: 14250524 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15291 | Audit Session ID: 0a95072a03bbb0005f1510bd | Security Group Tag: none | EasyVPN: 0 |Session ID: 15291 | Audit Session ID: 0a95072a03bbb0005f1510bd | Security Group Tag: none | EasyVPN: 0 ||
Username: ElbinK | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.211 | Public IP: 42.109.130.152 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:04:33 IST Mon Jul 20 2020 | Duration: 1h:55m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 76731959 | Bytes Rx: 30256030 | IP Addr: 10.149.232.211 | Public IP: 42.109.130.152 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:04:33 IST Mon Jul 20 2020 | Duration: 1h:55m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 76731959 | Bytes Rx: 30256030 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15292 | Audit Session ID: 0a95072a03bbc0005f1510c9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15292 | Audit Session ID: 0a95072a03bbc0005f1510c9 | Security Group Tag: none | EasyVPN: 0 ||
Username: sairaghu | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.171 | Public IP: 183.83.67.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:04:43 IST Mon Jul 20 2020 | Duration: 1h:55m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 898874352 | Bytes Rx: 314904515 | IP Addr: 10.149.232.171 | Public IP: 183.83.67.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:04:43 IST Mon Jul 20 2020 | Duration: 1h:55m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 898874352 | Bytes Rx: 314904515 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15293 | Audit Session ID: 0a95072a03bbd0005f1510d3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15293 | Audit Session ID: 0a95072a03bbd0005f1510d3 | Security Group Tag: none | EasyVPN: 0 ||
Username: enatesan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.163 | Public IP: 210.18.186.123 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:02 IST Mon Jul 20 2020 | Duration: 1h:55m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 50915342 | Bytes Rx: 13474857 | IP Addr: 10.149.232.163 | Public IP: 210.18.186.123 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:02 IST Mon Jul 20 2020 | Duration: 1h:55m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 50915342 | Bytes Rx: 13474857 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15294 | Audit Session ID: 0a95072a03bbe0005f1510e6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15294 | Audit Session ID: 0a95072a03bbe0005f1510e6 | Security Group Tag: none | EasyVPN: 0 ||
Username: sompraka | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.172 | Public IP: 27.57.34.192 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:16 IST Mon Jul 20 2020 | Duration: 1h:54m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 258458691 | Bytes Rx: 163847385 | IP Addr: 10.149.232.172 | Public IP: 27.57.34.192 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:16 IST Mon Jul 20 2020 | Duration: 1h:54m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 258458691 | Bytes Rx: 163847385 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15295 | Audit Session ID: 0a95072a03bbf0005f1510f4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15295 | Audit Session ID: 0a95072a03bbf0005f1510f4 | Security Group Tag: none | EasyVPN: 0 ||
Username: sijo.mathew | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.178 | Public IP: 202.83.57.97 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:33 IST Mon Jul 20 2020 | Duration: 1h:54m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 146089155 | Bytes Rx: 46472720 | IP Addr: 10.149.232.178 | Public IP: 202.83.57.97 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:33 IST Mon Jul 20 2020 | Duration: 1h:54m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 146089155 | Bytes Rx: 46472720 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15298 | Audit Session ID: 0a95072a03bc20005f151105 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15298 | Audit Session ID: 0a95072a03bc20005f151105 | Security Group Tag: none | EasyVPN: 0 ||
Username: madhug | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.175 | Public IP: 157.46.215.254 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:54 IST Mon Jul 20 2020 | Duration: 1h:54m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 28335266 | Bytes Rx: 12490859 | IP Addr: 10.149.232.175 | Public IP: 157.46.215.254 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:05:54 IST Mon Jul 20 2020 | Duration: 1h:54m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 28335266 | Bytes Rx: 12490859 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15300 | Audit Session ID: 0a95072a03bc40005f15111a | Security Group Tag: none | EasyVPN: 0 |Session ID: 15300 | Audit Session ID: 0a95072a03bc40005f15111a | Security Group Tag: none | EasyVPN: 0 ||
Username: NiVikram | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.235 | Public IP: 157.50.184.84 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:07:32 IST Mon Jul 20 2020 | Duration: 1h:52m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 22761880 | Bytes Rx: 10371966 | IP Addr: 10.149.232.235 | Public IP: 157.50.184.84 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:07:32 IST Mon Jul 20 2020 | Duration: 1h:52m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 22761880 | Bytes Rx: 10371966 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15303 | Audit Session ID: 0a95072a03bc70005f15117c | Security Group Tag: none | EasyVPN: 0 |Session ID: 15303 | Audit Session ID: 0a95072a03bc70005f15117c | Security Group Tag: none | EasyVPN: 0 ||
Username: sreevasg | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.236 | Public IP: 103.98.63.72 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:07:53 IST Mon Jul 20 2020 | Duration: 1h:52m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 228467078 | Bytes Rx: 49233940 | IP Addr: 10.149.232.236 | Public IP: 103.98.63.72 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:07:53 IST Mon Jul 20 2020 | Duration: 1h:52m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 228467078 | Bytes Rx: 49233940 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15306 | Audit Session ID: 0a95072a03bca0005f151191 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15306 | Audit Session ID: 0a95072a03bca0005f151191 | Security Group Tag: none | EasyVPN: 0 ||
Username: srrnarra | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.179 | Public IP: 157.48.195.91 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:08:35 IST Mon Jul 20 2020 | Duration: 1h:51m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 40930361 | Bytes Rx: 10190942 | IP Addr: 10.149.232.179 | Public IP: 157.48.195.91 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:08:35 IST Mon Jul 20 2020 | Duration: 1h:51m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 40930361 | Bytes Rx: 10190942 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15309 | Audit Session ID: 0a95072a03bcd0005f1511bb | Security Group Tag: none | EasyVPN: 0 |Session ID: 15309 | Audit Session ID: 0a95072a03bcd0005f1511bb | Security Group Tag: none | EasyVPN: 0 ||
Username: DAvula | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.180 | Public IP: 157.48.29.218 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:08:39 IST Mon Jul 20 2020 | Duration: 1h:51m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 85878455 | Bytes Rx: 26086723 | IP Addr: 10.149.232.180 | Public IP: 157.48.29.218 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:08:39 IST Mon Jul 20 2020 | Duration: 1h:51m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 85878455 | Bytes Rx: 26086723 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15310 | Audit Session ID: 0a95072a03bce0005f1511bf | Security Group Tag: none | EasyVPN: 0 |Session ID: 15310 | Audit Session ID: 0a95072a03bce0005f1511bf | Security Group Tag: none | EasyVPN: 0 ||
Username: amitmane | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.192 | Public IP: 223.182.169.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:12:30 IST Mon Jul 20 2020 | Duration: 1h:47m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 175384520 | Bytes Rx: 45002381 | IP Addr: 10.149.232.192 | Public IP: 223.182.169.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:12:30 IST Mon Jul 20 2020 | Duration: 1h:47m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 175384520 | Bytes Rx: 45002381 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15313 | Audit Session ID: 0a95072a03bd10005f1512a6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15313 | Audit Session ID: 0a95072a03bd10005f1512a6 | Security Group Tag: none | EasyVPN: 0 ||
Username: veereswaran.M | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.194 | Public IP: 157.50.12.167 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:13:13 IST Mon Jul 20 2020 | Duration: 1h:46m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 133520215 | Bytes Rx: 12674202 | IP Addr: 10.149.232.194 | Public IP: 157.50.12.167 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:13:13 IST Mon Jul 20 2020 | Duration: 1h:46m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 133520215 | Bytes Rx: 12674202 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15314 | Audit Session ID: 0a95072a03bd20005f1512d1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15314 | Audit Session ID: 0a95072a03bd20005f1512d1 | Security Group Tag: none | EasyVPN: 0 ||
Username: vbilla | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.238 | Public IP: 157.48.206.182 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 09:14:00 IST Mon Jul 20 2020 | Duration: 1h:46m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 39426338 | Bytes Rx: 24465851 | IP Addr: 10.149.232.238 | Public IP: 157.48.206.182 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 09:14:00 IST Mon Jul 20 2020 | Duration: 1h:46m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 39426338 | Bytes Rx: 24465851 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15317 | Audit Session ID: 0a95072a03bd50005f151300 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15317 | Audit Session ID: 0a95072a03bd50005f151300 | Security Group Tag: none | EasyVPN: 0 ||
Username: apanigra | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.239 | Public IP: 106.222.252.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:14:05 IST Mon Jul 20 2020 | Duration: 1h:46m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 137313419 | Bytes Rx: 30573488 | IP Addr: 10.149.232.239 | Public IP: 106.222.252.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:14:05 IST Mon Jul 20 2020 | Duration: 1h:46m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 137313419 | Bytes Rx: 30573488 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15318 | Audit Session ID: 0a95072a03bd60005f151305 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15318 | Audit Session ID: 0a95072a03bd60005f151305 | Security Group Tag: none | EasyVPN: 0 ||
Username: YReddy | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.158 | Public IP: 157.48.133.39 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:15:04 IST Mon Jul 20 2020 | Duration: 1h:45m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 69685789 | Bytes Rx: 10938683 | IP Addr: 10.149.232.158 | Public IP: 157.48.133.39 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:15:04 IST Mon Jul 20 2020 | Duration: 1h:45m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 69685789 | Bytes Rx: 10938683 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15319 | Audit Session ID: 0a95072a03bd70005f151340 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15319 | Audit Session ID: 0a95072a03bd70005f151340 | Security Group Tag: none | EasyVPN: 0 ||
Username: rahilr | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.153 | Public IP: 49.206.124.133 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:15:13 IST Mon Jul 20 2020 | Duration: 1h:44m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 28011928 | Bytes Rx: 10736930 | IP Addr: 10.149.232.153 | Public IP: 49.206.124.133 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:15:13 IST Mon Jul 20 2020 | Duration: 1h:44m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 28011928 | Bytes Rx: 10736930 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15320 | Audit Session ID: 0a95072a03bd80005f151349 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15320 | Audit Session ID: 0a95072a03bd80005f151349 | Security Group Tag: none | EasyVPN: 0 ||
